APPROX_DATE,Frequency,SOURCE,Frequency,SEX,Frequency,BIRTH_DATE,Frequency,AGE_AT_TEST,Frequency,AGE_GROUP,Frequency,IS_PEDIATRIC,Frequency,HEIGHT_BEST,Frequency,HEIGHT_CLEAN,Frequency,HEIGHT_FLAG,Frequency,WEIGHT_MEDIAN,Frequency,WEIGHT_LATEST,Frequency,WEIGHT_CLEAN,Frequency,WEIGHT_FLAG,Frequency,FEV1_BEST,Frequency,FVC_BEST,Frequency,FEV1_FVC_RATIO,Frequency,FEV1_MAX,Frequency,FVC_MAX,Frequency,MEASUREMENT_TYPE,Frequency,FEV1_POST,Frequency,FVC_POST,Frequency,FEV1_FVC_POST,Frequency,FEV1_CHANGE_L,Frequency,FEV1_CHANGE_PCT,Frequency,FVC_CHANGE_L,Frequency,FVC_CHANGE_PCT,Frequency,SIGNIFICANT_RESPONSE,Frequency,OBSTRUCTION,Frequency
,,,,,,,,,,,,,,153.5,140,150.5,97,,,71.5,295,130.0,199,119.0,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,183.5,138,180.5,97,,,65.5,294,119.0,196,46.0,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,147.0,125,182.5,94,,,114.0,291,121.0,193,45.0,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,152.5,123,193.0,91,,,72.5,281,45.0,186,122.0,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,150.5,109,145.0,90,,,49.0,279,68.5,171,121.0,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,184.5,108,181.5,86,,,69.5,278,122.0,166,123.0,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,151.5,106,194.0,70,,,66.5,278,71.5,161,128.0,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,162.75,95,183.5,69,,,70.5,277,82.5,161,44.0,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,162.25,78,151.5,68,,,61.5,276,87.5,160,124.0,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,145.0,77,144.0,64,,,79.5,265,62.5,157,135.0,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,166.25,72,196.0,62,,,111.0,264,65.5,154,70.5,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,164.75,72,184.5,59,,,63.5,262,70.5,152,127.0,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
