SOURCE	CODE1	CODE2	CODE3	vocabulary	n_events	n_patients
CANC	C629	9080	3	canc	14	14
CANC	C629	9081	3	canc	21	21
CANC	C629	9085	3	canc	50	50
CANC	C629	9591	3	canc	10	10
CANC	C629	9680	3	canc	27	27
CANC	C649	8000	3	canc	96	96
CANC	C649	8010	3	canc	20	20
CANC	C649	8260	3	canc	240	240
CANC	C649	8310	3	canc	983	982
CANC	C649	8312	3	canc	930	923
CANC	C649	8316	3	canc	6	6
CANC	C649	8317	3	canc	108	108
CANC	C649	8960	3	canc	39	39
CANC	C659	8000	3	canc	6	6
CANC	C659	8120	3	canc	118	118
CANC	C659	8130	2	canc	12	12
CANC	C659	8130	3	canc	10	10
CANC	C669	8120	3	canc	46	46
CANC	C669	8130	2	canc	15	15
CANC	C671	8120	3	canc	8	8
CANC	C672	8120	3	canc	42	42
CANC	C672	8130	1	canc	7	7
CANC	C672	8130	2	canc	36	36
CANC	C672	8130	3	canc	7	7
CANC	C674	8120	3	canc	12	12
CANC	C674	8130	2	canc	12	12
CANC	C675	8120	3	canc	13	13
CANC	C676	8120	3	canc	7	7
CANC	C676	8130	2	canc	10	10
CANC	C678	8120	3	canc	8	8
CANC	C679	8000	3	canc	40	40
CANC	C679	8010	3	canc	8	8
CANC	C679	8041	3	canc	8	8
CANC	C679	8070	3	canc	6	6
CANC	C679	8120	1	canc	56	56
CANC	C679	8120	2	canc	107	107
CANC	C679	8120	3	canc	1837	1836
CANC	C679	8130	1	canc	136	136
CANC	C679	8130	2	canc	572	572
CANC	C679	8130	3	canc	201	201
CANC	C679	8140	3	canc	9	9
CANC	C680	8120	3	canc	12	12
CANC	C688	8120	3	canc	13	13
CANC	C689	8000	1	canc	8	8
CANC	C689	8000	3	canc	7	7
CANC	C689	8120	3	canc	26	26
CANC	C690	8720	3	canc	6	6
CANC	C690	9699	3	canc	8	8
CANC	C692	9510	3	canc	24	24
CANC	C693	8000	3	canc	11	11
CANC	C693	8720	3	canc	55	55
CANC	C696	9699	3	canc	14	14
CANC	C699	8720	3	canc	61	61
CANC	C699	9591	3	canc	7	7
CANC	C700	8000	0	canc	30	30
CANC	C700	9530	0	canc	800	800
CANC	C700	9530	3	canc	6	6
CANC	C700	9531	0	canc	83	83
CANC	C700	9532	0	canc	45	45
CANC	C700	9533	0	canc	9	9
CANC	C700	9537	0	canc	66	66
CANC	C700	9539	1	canc	62	62
