EVENT_AGE,Frequency,APPROX_EVENT_DAY,Frequency,CDA_ID_SALATTU,Frequency,DOC_GROUP_SALATTU,Frequency,RESEPTISTATUS,Frequency,DIS_AMOUNT_CALC_TXT,Frequency,DIS_AMT_VALUE,Frequency,DIS_AMOUNT_TXT,Frequency,DIS_AMT_UNIT,Frequency,DELIVERY_FEE,Frequency,MED_EXCHANGED,Frequency,DOSE_DISTRIBUTION,Frequency,ATC_CODE,Frequency,PREPARATION_TYPE_CODE,Frequency,PRODUCT_CODE1,Frequency,PRODUCT_CODE2,Frequency,PRODUCT_CODE3,Frequency,LAAKEMUOTOKOODI,Frequency,DRUG_NAME_C,Frequency,DOSE_QUANTITY_TEXT,Frequency
,,2023-06-21,185,,,,,,,2X5X3,268,4.5,52,,,,,9.69,571,,,,,A06AC01,1490,,,478402,845,,,,,265,89,PANTOPRAZOL ACTAVIS,1134,16 mg,1142
,,2021-12-08,185,,,,,,,2X120,266,List truncated...,,,,,,7.27,570,,,,,R03BA05,1487,,,489034,836,,,,,465,85,EMCONCOR,1133,90 MG,1135
,,2022-10-03,184,,,,,,,2x60,262,,,,,,,28.21,569,,,,,A02BC03,1477,,,007519,835,,,,,39,80,ETORICOXIB RATIOPHARM,1122,0,5 MG,1098
,,2023-09-19,184,,,,,,,1x1X3.5,262,,,,,,,13.98,568,,,,,C03AA03,1473,,,007072,834,,,,,488,73,ALVESCO,1116,0,4 MG,1078
,,2023-10-11,184,,,,,,,2x1X20,262,,,,,,,13.48,568,,,,,A02BC01,1471,,,006102,822,,,,,11,70,LANTUS,1108,1G,1058
,,2022-12-13,184,,,,,,,1x1X0.5,261,,,,,,,9.33,567,,,,,C09DA06,1458,,,066278,818,,,,,271,63,GABRION,1106,90 mg,1023
,,2023-09-02,184,,,,,,,1x1X140,256,,,,,,,20.02,566,,,,,J01CA08,1440,,,022222,815,,,,,242,62,OXIKLORIN,1104,40MG,950
,,2023-01-06,184,,,,,,,3x1X30,253,,,,,,,10.53,563,,,,,A10BJ06,1410,,,078623,811,,,,,511,59,TRAJENTA,1102,500MG,950
,,2023-06-20,184,,,,,,,1X6,251,,,,,,,12.91,563,,,,,N02CC01,1408,,,578944,801,,,,,121,59,LOSATRIX COMP,1089,2,5 mg/g,949
,,2020-12-18,183,,,,,,,2X20,251,,,,,,,9.19,558,,,,,C01DA08,1384,,,029459,799,,,,,785,57,AMLODIPIN SANDOZ,1083,16 MG,930
,,2022-10-14,183,,,,,,,1x5X3,251,,,,,,,8.52,556,,,,,G04CB01,1370,,,017621,794,,,,,757,53,ASACOL,1081,120 MG,926
,,2020-12-04,183,,,,,,,1x1X7,249,,,,,,,1.28,555,,,,,N03AG01,1353,,,032214,771,,,,,184,52,BEMETSON,1081,100MG,909
,,2022-09-11,183,,,,,,,1X3X21,248,,,,,,,3.5,554,,,,,S01ED51,1327,,,087320,768,,,,,107,52,ATORBIR,1075,50 mikrog/annos,891
,,2023-10-25,183,,,,,,,1x120X0.5,242,,,,,,,9.3,548,,,,,G03AC09,1325,,,128853,766,,,,,148,51,MELATONIN ORION,1041,100 MG/ML,867
,,2022-03-14,183,,,,,,,3X120,239,,,,,,,6.58,544,,,,,B01AB05,1297,,,532952,755,,,,,338,50,ZOLT,1040,250 mg,860
,,2022-08-11,183,,,,,,,1X140,235,,,,,,,9.44,537,,,,,J01CE02,1286,,,175935,752,,,,,List truncated...,,CALCICHEW,1037,1000 MG,841
,,2021-08-30,183,,,,,,,1x1X8,224,,,,,,,12.99,535,,,,,N05AX08,1245,,,075533,750,,,,,,,MAREVAN,1036,5 MG/ML,825
,,2022-10-11,182,,,,,,,1x1X150,221,,,,,,,9.98,534,,,,,M01AX05,1242,,,031487,746,,,,,,,DUODART,1032,125/50 mikrog/annos,824
,,2022-10-06,182,,,,,,,1X90X1,218,,,,,,,9.09,528,,,,,G03AA12,1223,,,566075,746,,,,,,,TRAMAL,1017,1 MG/ML,782
,,2022-09-20,182,,,,,,,3x5X3,218,,,,,,,24.74,525,,,,,C09CA07,1217,,,080034,746,,,,,,,BRINTELLIX,1003,2 %,765
,,2022-09-21,182,,,,,,,4x100,217,,,,,,,26.32,524,,,,,A12BA01,1214,,,550111,735,,,,,,,MELATONIN (TÖYSÄ/SOPIMUSVALMISTUSTUOTE),1003,10 MG/G,742
,,2023-07-13,182,,,,,,,1X25,217,,,,,,,19.97,522,,,,,A07EC01,1191,,,008519,730,,,,,,,CARTEXAN,995,120 mg,740
,,2023-09-25,182,,,,,,,2X200,211,,,,,,,10.37,516,,,,,D07AC01,1189,,,474403,726,,,,,,,KLEXANE,991,75 MIKROG,733
,,2023-10-15,182,,,,,,,1X120X0,5,209,,,,,,,9.41,513,,,,,C08CA02,1168,,,151938,722,,,,,,,PANADOL EXTEND,984,40_MG,730
,,2022-12-31,182,,,,,,,1X150,209,,,,,,,10.4,512,,,,,N03AX09,1164,,,533158,720,,,,,,,FORXIGA,975,160 MG,717
,,2022-12-28,182,,,,,,,1X0,5,202,,,,,,,10.7,509,,,,,R03BA02,1146,,,110972,712,,,,,,,MELATONIN VITABALANS,973,0,5/0,4 mg,707
,,2022-12-27,182,,,,,,,2x28,197,,,,,,,10.68,509,,,,,R01AD08,1143,,,021877,701,,,,,,,KALEORID,972,2,5 MG/G,704
,,2022-12-18,182,,,,,,,2x1X200,196,,,,,,,37.38,507,,,,,B03BB01,1123,,,005502,699,,,,,,,FLIXONASE,956,7.5 MG,700
,,2023-01-04,182,,,,,,,1X3X120,188,,,,,,,12.38,504,,,,,G04CA01,1122,,,090975,690,,,,,,,SELEXID,952,500_MG,699
,,2021-11-30,182,,,,,,,1X7,188,,,,,,,13.56,500,,,,,R03BA08,1116,,,476895,690,,,,,,,HEINIX,950,100_MG,693
,,2019-12-10,182,,,,,,,1x1X84,188,,,,,,,4.91,497,,,,,N04BC05,1114,,,021489,689,,,,,,,OFTAN CHLORA,944,800 IU,684
,,2023-02-26,182,,,,,,,3X5,188,,,,,,,20.8,496,,,,,P01BA02,1105,,,077887,685,,,,,,,DINIT,932,27,5 mikrog/suihke,668
,,2021-12-10,182,,,,,,,1x3X2.5,188,,,,,,,31.18,495,,,,,A10BH05,1105,,,059951,677,,,,,,,OFTAN AKVAKOL,917,250 MIKROG/ANNOS,663
,,2022-10-31,181,,,,,,,2x1X10,184,,,,,,,8.24,494,,,,,C09BA02,1092,,,010999,676,,,,,,,FELODIPIN RATIOPHARM,909,95 MG,652
,,2022-09-14,181,,,,,,,3x30,180,,,,,,,8.77,492,,,,,J01EA01,1088,,,476127,670,,,,,,,LOSARTAN KRKA,903,50MG,651
,,2022-06-28,181,,,,,,,1x1X3,178,,,,,,,87.42,488,,,,,N06AB06,1085,,,490857,667,,,,,,,BUFOMIX EASYHALER,868,1 mg/ml,608
,,2020-03-14,181,,,,,,,1x2X98,174,,,,,,,11.28,487,,,,,J01CR02,1077,,,016294,666,,,,,,,ESOMEPRAZOL SANDOZ,868,75 mikrog,607
,,2023-09-16,181,,,,,,,1X3X10,173,,,,,,,9.91,486,,,,,M01AX25,1042,,,165824,663,,,,,,,V-PEN MEGA,865,10 MG/ML,606
,,2022-03-18,181,,,,,,,3X5X3,172,,,,,,,13.86,486,,,,,N06DA02,1019,,,007181,657,,,,,,,PRADAXA,863,610 mg/g,600
,,2022-12-01,181,,,,,,,2X10,171,,,,,,,12.15,486,,,,,B01AC30,1011,,,460402,656,,,,,,,METOPROLOL ORION,863,160 mg,596
,,2023-09-01,181,,,,,,,2x1X120,170,,,,,,,13.94,478,,,,,N06AX26,1004,,,371722,654,,,,,,,XATRAL CR,860,8/60 mg,592
,,2022-05-19,181,,,,,,,1x1X400,168,,,,,,,17.31,474,,,,,C03EA01,1003,,,000410,652,,,,,,,RAMIPRIL HEXAL,859,610 MG/G,570
,,2023-12-19,181,,,,,,,2X56,166,,,,,,,11.39,472,,,,,N06AX12,969,,,041140,648,,,,,,,DOXIMYCIN,858,47,5 mg,567
