SOURCE	CODE1	CODE2	CODE3	VOCAB	n_events	n_patients
INPAT	21303	NA	NA	8	52	41
INPAT	21304	NA	NA	8	28	27
INPAT	21305	NA	NA	8	11	9
INPAT	21306	NA	NA	8	125	103
INPAT	21307	NA	NA	8	57	52
INPAT	21308	NA	NA	8	28	19
INPAT	21309	NA	NA	8	24	23
INPAT	2130A	NA	NA	9	23	22
INPAT	2131A	NA	NA	9	9	8
INPAT	2134A	NA	NA	9	29	21
INPAT	2135A	NA	NA	9	63	57
INPAT	2136A	NA	NA	9	22	10
INPAT	2137A	NA	NA	9	131	101
INPAT	2138A	NA	NA	9	35	32
INPAT	2139X	NA	NA	9	14	10
INPAT	21400	NA	NA	8	6	6
INPAT	2140A	NA	NA	9	475	458
INPAT	21499	NA	NA	8	438	422
INPAT	21500	NA	NA	8	8	8
INPAT	21501	NA	NA	8	62	59
INPAT	21502	NA	NA	8	36	32
INPAT	21503	NA	NA	8	110	105
INPAT	21504	NA	NA	8	81	66
INPAT	21509	NA	NA	8	29	26
INPAT	2150A	NA	NA	9	11	11
INPAT	2150X	NA	NA	9	8	7
INPAT	2152A	NA	NA	9	30	24
INPAT	2152D	NA	NA	9	12	12
INPAT	2152X	NA	NA	9	21	20
INPAT	2153A	NA	NA	9	22	21
INPAT	2153C	NA	NA	9	38	36
INPAT	2153X	NA	NA	9	19	17
INPAT	2155X	NA	NA	9	6	6
INPAT	2159X	NA	NA	9	10	10
INPAT	21600	NA	NA	8	71	65
INPAT	21601	NA	NA	8	15	14
INPAT	21602	NA	NA	8	48	46
INPAT	21603	NA	NA	8	39	35
INPAT	21604	NA	NA	8	69	60
INPAT	21605	NA	NA	8	30	28
INPAT	21606	NA	NA	8	107	95
INPAT	21607	NA	NA	8	60	59
INPAT	21608	NA	NA	8	67	66
INPAT	21609	NA	NA	8	22	22
INPAT	2160A	NA	NA	9	17	17
INPAT	21610	NA	NA	8	54	49
INPAT	2161C	NA	NA	9	6	6
INPAT	2161X	NA	NA	9	13	13
INPAT	2163A	NA	NA	9	52	41
INPAT	2163G	NA	NA	9	10	10
INPAT	2163X	NA	NA	9	20	20
INPAT	2164A	NA	NA	9	22	22
INPAT	2164F	NA	NA	9	6	6
INPAT	2165A	NA	NA	9	111	106
INPAT	2165C	NA	NA	9	7	7
INPAT	2165D	NA	NA	9	9	8
INPAT	2165G	NA	NA	9	17	13
INPAT	2165X	NA	NA	9	33	33
INPAT	2166A	NA	NA	9	25	22
