APPROX_BIRTH_DATE,Frequency,BL_YEAR,Frequency,BL_AGE,Frequency,SEX,Frequency,HEIGHT,Frequency,HEIGHT_AGE,Frequency,WEIGHT,Frequency,WEIGHT_AGE,Frequency,BMI,Frequency,SMOKE2,Frequency,SMOKE3,Frequency,SMOKE5,Frequency,CURRENT_SMOKER,Frequency,EVER_SMOKER,Frequency,SMOKE_AGE,Frequency,regionofbirth,Frequency,regionofbirthname,Frequency,movedabroad,Frequency,NUMBER_OF_OFFSPRING,Frequency,COHORT,Frequency,DEATH,Frequency,DEATH_APPROX_EVENT_DAY,Frequency,DEATH_FU_AGE,Frequency,AGE_AT_DEATH_OR_END_OF_FOLLOWUP,Frequency
,,,,62.82,137,,,,,54.01,53,42,319,57.93,53,21.2,1531,,,,,,,,,,,,,,,,,,,,,,,,,,,56.88,133,56.88,133
,,,,61.78,137,,,,,54.08,53,40,292,57.99,53,21.7,1476,,,,,,,,,,,,,,,,,,,,,,,,,,,56.37,133,56.37,133
,,,,59.94,137,,,,,59.6,53,38,255,63.45,53,31.1,1474,,,,,,,,,,,,,,,,,,,,,,,,,,,56.41,133,56.41,133
,,,,60.83,137,,,,,54.67,53,36,233,63.62,53,27.6,1456,,,,,,,,,,,,,,,,,,,,,,,,,,,75.83,133,75.83,133
,,,,58.59,136,,,,,59.59,53,132,229,64.8,53,20.3,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,56.53,132,56.53,132
,,,,64.34,136,,,,,60.57,53,134,229,56.75,53,32.7,1392,,,,,,,,,,,,,,,,,,,,,,,,,,,76.75,132,76.75,132
,,,,70.53,136,,,,,60.84,53,150,224,62.61,53,28.6,1347,,,,,,,,,,,,,,,,,,,,,,,,,,,74.08,132,74.08,132
,,,,56.69,136,,,,,59.16,53,37,220,62.19,53,29.6,1334,,,,,,,,,,,,,,,,,,,,,,,,,,,37.15,132,37.15,132
,,,,62.55,136,,,,,53.13,53,41,215,62.22,53,32.8,1266,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,132,68.0,132
,,,,List truncated...,,,,,,58.41,52,35,211,62.32,53,20.2,1255,,,,,,,,,,,,,,,,,,,,,,,,,,,69.16,132,69.16,132
,,,,,,,,,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,,,,,,,,,,,,,,,,,,,,,,,,,,,List truncated...,,List truncated...,
