DELIVERY_YEAR,Frequency,APPROX_DELIVERY_DATE,Frequency,PARITY,Frequency,NRO_CHILD,Frequency,NRO_FETUSES,Frequency,CHILD_SEX,Frequency,MOTHER_AGE,Frequency,MOTHER_WEIGHT,Frequency,MOTHER_HEIGHT,Frequency,SMOKING,Frequency,DURATION_WEEKS,Frequency,DURATION_DAYS,Frequency,ORDER,Frequency,SDIAG1,Frequency,SDIAG2,Frequency,SDIAG3,Frequency,SDIAG4,Frequency,SDIAG5,Frequency,SDIAG6,Frequency,SDIAG7,Frequency,SDIAG8,Frequency,SDIAG9,Frequency,SDIAG10,Frequency,RDIAG1,Frequency,RDIAG2,Frequency,RDIAG3,Frequency,RDIAG4,Frequency,RDIAG5,Frequency,RDIAG6,Frequency,RDIAG7,Frequency,RDIAG8,Frequency,RDIAG9,Frequency,RDIAG10,Frequency,MATUR_THREAT,Frequency,INSEM,Frequency,IVF,Frequency,ICSI,Frequency,PAS,Frequency,GAMETE_DONAT,Frequency,RKOURIS,Frequency,MOTHER_BLOOD_PRES,Frequency,MOTHER_BLEEDING,Frequency,OTHER_PREG_DIAB_THREAT,Frequency,DIABETES,Frequency,GLUC,Frequency,GLUC_PATOL,Frequency,INS_THREAT_INIT,Frequency,PREM,Frequency
2017,5428,,,,,,,,,,,29.02,384,102,248,,,,,,,,,,,O410,124,O992,145,O470,89,,,,,,,,,,,,,,,6441A,169,O420,98,J459,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,5098,,,,,,,,,,,27.03,383,103,235,,,,,,,,,,,E6601,117,O842,142,O722,87,,,,,,,,,,,,,,,O359,162,O631,93,O322,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,4685,,,,,,,,,,,27.11,383,104,233,,,,,,,,,,,O421,115,O665,138,O140,84,,,,,,,,,,,,,,,O996,158,V230A,92,O440,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,4216,,,,,,,,,,,25.08,382,115,205,,,,,,,,,,,O621,113,O470,135,O682,80,,,,,,,,,,,,,,,O209,157,O994,92,Z392,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,3783,,,,,,,,,,,27.71,382,107,178,,,,,,,,,,,6531A,111,O722,133,E669,75,,,,,,,,,,,,,,,O40,154,Z354,92,O369,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,3333,,,,,,,,,,,26.45,382,106,175,,,,,,,,,,,Z358,110,O757,131,Z348,75,,,,,,,,,,,,,,,O420,149,O343,91,O820,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,3165,,,,,,,,,,,28.56,382,108,168,,,,,,,,,,,O648,108,6563B,130,O141,70,,,,,,,,,,,,,,,Z718,144,O322,85,O631,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,2827,,,,,,,,,,,25.97,381,101,158,,,,,,,,,,,O249,108,6500B,129,O996,69,,,,,,,,,,,,,,,O991,138,O440,82,O267,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,2409,,,,,,,,,,,27.94,381,120,156,,,,,,,,,,,O654,106,R875,126,R875,69,,,,,,,,,,,,,,,6522A,132,O267,80,Z354,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,2101,,,,,,,,,,,27.64,381,109,154,,,,,,,,,,,Z348,105,O620,120,Z340,68,,,,,,,,,,,,,,,6450A,128,O995,78,Z018,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,1791,,,,,,,,,,,27.8,381,44,136,,,,,,,,,,,O411,101,O654,117,O618,64,,,,,,,,,,,,,,,6420X,126,O990,77,O995,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1510,,,,,,,,,,,29.47,381,112,123,,,,,,,,,,,6598B,101,Z372,114,O842,64,,,,,,,,,,,,,,,O241,123,O209,77,R5180,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1315,,,,,,,,,,,29.38,381,113,119,,,,,,,,,,,O364,101,6522B,111,O654,63,,,,,,,,,,,,,,,O820,115,O820,76,List truncated...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,1213,,,,,,,,,,,28.46,381,118,116,,,,,,,,,,,6522A,97,Z348,108,O40,63,,,,,,,,,,,,,,,O479,111,Z018,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
